QOO,SKU,Description,QOH,Mfg Part #,Loc,Retail,Repl Cost,YTD Units,LYR Units
1,84298,TENNIS BALL YELLOW CAN 3,,521001,00A00,7.99,3.68,33,115
,92273,FINGERNAIL CLIPPER CHRM,18,12979,00A00,1.79,0.4,19,11
,94160,"BASEBALL PLSTC WHT 3""D",8,639C,00A00,3.59,1.3,5,39
,94189,"TOY WIFFLE BAT/BALL 32""",24,100,00A00,8.99,4.17,8,19
,97070,GLIDER&PLANE BLSA WOOD,81,77,00A00,5.99,2.68,16,16
,900632,CHOC CARAML APPL CRNCH 1LB BG-PL,,632,00A00,14.99,7.5,,1
,900639,CHRISTMAS COOKIE CRUNCH 8 OZ BAG,,237CHR,00A00,9.99,5,,
,900640,CHRISTMAS PRETZEL 14 OZ BAG,,1017B,00A00,10.99,6,,
,900641,CHRISTMAS CRUNCH 8 OZ BAG,,614-8,00A00,10.99,5,,
,900973,CHRISTMAS TURTLES 7 OZ GIFT BOX,,973,00A00,16.99,8,,
,906111,BUNNY CRUNCH SMALL BAG 8 OZ,,617-8,00A00,9.99,5,,
,906378,SEA SALT CRUNCH 8 OZ BAG,,637-8,00A00,9.99,5,,1
,906640,SMORES CRUNCH 8 OZ BAG,,640-8,00A00,9.99,5,,1
,906918,BUTTER RUM CRUNCH 8 OZ BAG,,691-8,00A00,9.99,5,,4
,906968,TOASTED COCONUT CRUNCH 8 OZ BAG,,696-8,00A00,9.99,5,,1
,910229,SALTDRK CHOC PRETZ CRNCH 14OZ BG,,1022SS,00A00,10.99,5.5,,1
,923799,CHRISTMAS OREOS COOKIES  6 PK,,237SS,00A00,9.99,5,,
,969389,PINA COLADA CRUNCH 8 OZ BAG,,693-8,00A00,9.99,5,,
,6010516,PICKLE ORG KSHR DIL 24OZ,3,3698,00A00,9.99,4.82,8,7
,6061051,CINN SUGAR PRTZLS 160Z,14,71928,00A00,9.99,5.62,2,17
,6062071,CARAMEL CREAMS ORGNL 4OZ,5,74101,00A00,2.59,1.09,10,21
,6065041,GUMMI CANDY CHERRY 3.5OZ,8,1785554,00A00,2.59,1.13,3,13
,6065117,TRAIL MIX PEANT CHOC 6OZ,3,1721502,00A00,4.99,2.27,4,23
,8054050,PICKLEBALL SET ACTIVATOR,2,52742,00A00,36.99,18.24,2,
,8090227,"PICKLEBALLS YLW 2.9"" 6PK",3,52960,00A00,21.99,12.17,4,
,8101999,"TBL TENNIS PDL WD RD 10""",2,57201,00A00,9.99,3.66,,
,8102000,TABL TENS PDDLE SET 1PK,2,57304,00A00,27.99,15.23,1,
,8837163,40MM WHT  1STAR BALL,2,57113,00A00,4.99,1.8,11,11
,9005429,BEEF STEAK PEPPERED 2OZ,13,06023,00A00,5.99,2.4,,11
,9006321,TOE NAIL CLIPPER DELUXE,4,12976,00A00,2.59,0.79,5,12
,9008210,DILL PCKL PEANUTS 12OZ,6,11004,00A00,7.99,3.34,3,11
,9008213,HR CHPTLE PEANUTS 12OZ,6,11070,00A00,7.99,3.34,4,22
,9008216,SEA SLT&PEPR PEANTS 12OZ,2,11008,00A00,7.99,3.34,4,10
,9008218,SRIRACHA RA PEANUTS 12OZ,5,11058,00A00,7.99,3.34,2,9
,9014135,KEEBLER CLUB&CHEDAR1.8OZ,14,432869,00A00,1.99,0.66,9,13
,9014143,KEEBLER TOAST&PB 1.8OZ,11,432868,00A00,1.99,0.66,3,22
,9014150,KEEBLER CHEESE&PB 1.8OZ,10,432866,00A00,1.99,0.66,4,22
,9015308,FRUIT SNACKS 5OZ MIXED,11,653513,00A00,4.99,1.74,4,16
,9019652,PEANUTS JALAPENO 12OZ,3,11045,00A00,7.99,3.34,6,11
,9023902,CHIPS SEA SALT2OZ,24,10601,00A00,2.59,0.87,4,12
,9023907,CHIPS DOWN EAST BBQ 2OZ,20,10602,00A00,2.59,0.87,12,28
,9023909,CHIPS SALT & BALSMC 2OZ,11,10605,00A00,2.59,0.87,3,7
,9040776,DOTS PRETZLS STHWST 16OZ,10,59016,00A00,9.99,5.62,4,15
,9057507,PRETZELS HK ANDERSON 5OZ,17,689388,00A00,3.59,1.82,25,67
,9057509,PRETZELS SOUTHWEST 5OZ,21,59010,00A00,5.99,3.09,13,24
,9063222,LICORICE BLAST BRY 10OZ,10,121303,00A00,5.99,2.74,10,20
,9071434,NERD GUMMY SWT TNGY 5OZ,7,766848,00A00,4.99,2.39,7,31
,9073642,BEEF STICK ORIGNL 1.84OZ,11,10000029376,00A00,4.99,1.83,8,27
,9073815,BEEF STICK TERIYK 1.84OZ,18,10000029384,00A00,4.99,1.83,16,14
,9073857,BIG LEAGUE CHEW ORIGINAL,5,533247,00A00,3.59,1.43,25,42
,9079093,CHOCOLATE CHP COOKIES7OZ,5,1001002,00A00,9.99,5.1,18,30
,9079094,OATMEAL RAISIN CKIES 7OZ,7,1001026,00A00,9.99,5.1,7,10
,9079464,HONEY MUSTRD PRTZLS 16OZ,4,57216,00A00,9.99,5.62,9,31
,9079466,HONEY MUSTARD PRTZLS 5OZ,7,50910,00A00,5.99,3.09,10,35
,9080706,BEEF STEAK TERIYAKI,10,02030,00A00,3.59,1.39,,14
,9089431,PRETZELS CINAMN/SUGR 5OZ,5,59008,00A00,5.99,3.09,7,25
,9097868,TOOTSIE ROLLS  7.3OZ,6,6057,00A00,3.59,1.75,7,19
,9100981,BEER PONG RED/WHITE 16PC,2,5170,00A00,9.99,3.98,1,
,9101221,JELLY BEAN 20 FVLR 3.5OZ,8,66110,00A00,3.59,1.68,5,9
,9124298,SMOKEHOUSE ALMOND 1.5OZ,13,5179,00A00,2.59,1.04,4,7
,9133364,PRINGLES ORIGINAL 5.26OZ,9,650278,00A00,4.99,2.62,23,52
,9133430,LICORICE ORGNL RED 10OZ,11,121110,00A00,5.99,2.74,17,20
,9133455,POTATO CRISPS BBQ 5.5OZ,7,675808,00A00,4.99,2.62,6,15
,9133554,PRINGLES SC&O 5.57OZ,17,650279,00A00,4.99,2.62,17,36
,9133612,LICORICE BLACK 10OZ,13,121111,00A00,5.99,2.74,9,24
,9158353,KARS SALTED PEANUTS,13,440000725,00A00,1.99,0.92,1,4
,9158619,KARS HONEY PEANUTS,11,440000861,00A00,1.99,0.92,2,17
,9158692,KARS SALTED CASHEWS,14,440000798,00A00,1.99,1.11,4,6
,9158718,KARS SWT&SALTY MIX,41,440000724,00A00,1.99,0.92,3,4
2,9281031,LEMON DROP HRD CNDY 6OZ,2,631,00A00,2.99,1.1,26,49
,9281148,ROOT BEER HRD CNDY 6OZ,4,686,00A00,2.99,1.1,13,47
,9285495,BROWNIE BRITTL CHOC CHIP,5,440000148,00A00,5.99,2.56,4,15
,9285610,BROWNIE BRITTL SALT CARM,8,440000151,00A00,5.99,2.56,4,6
,9297748,CINNAMON HARD CANDY 6OZ,4,676,00A00,2.99,1.1,5,22
,9297763,WATERMELON HARD CANDY6OZ,4,681,00A00,2.99,1.1,6,6
,9300104,PRETZEL TUB PB 24OZ,15,689386,00A00,9.99,5.64,27,68
,9318338,PECAN LOG 2.5OZ,15,111915,00A00,3.59,1.67,12,33
,9326240,SKINNY POP ORIGINAL 1OZ,5,610186,00A00,3.99,1.54,4,15
,9330150,KIND PB DRK CHC 1.4OZ,6,673736,00A00,3.59,1.7,1,5
,9333048,CHEEZIT WHT CHEDDAR 3OZ,7,462809,00A00,2.99,1.36,10,18
,9333089,CHEEZIT CHEDDAR JACK 3OZ,5,430163,00A00,2.99,1.36,1,16
,9333121,CHEEZIT ORIGINAL 3OZ,4,428582,00A00,2.99,1.36,11,27
,9334236,ORIGINAL GINGER CHEWS,11,F-04111,00A00,3.99,1.66,4,8
,9369711,CLIF BAR CRNCHY PB 2.4OZ,5,582982,00A00,3.59,1.8,8,11
12,9369729,CLIF BAR WHT CHOC 2.4OZ,4,582998,00A00,3.59,1.8,8,12
,9374992,COMBOS CHDR CHEESE 6.3OZ,5,114650,00A00,4.99,2.38,4,3
,9375064,COMBOS PZZA PRTZ 6.3OZ,11,114649,00A00,4.99,2.38,5,8
,9388844,DOTS PRETZELS ORGNL 16OZ,14,51610,00A00,9.99,5.62,19,73
,9469453,LIP BALM VAN/BEAN,11,89211,00A00,5.99,2.4,29,20
,9611005,KIND CARAMEL ALMOND,10,673747,00A00,2.99,1.7,1,11
,9611013,BAR DK CHOC NUTS/SEA,15,673719,00A00,3.59,1.7,6,14
10,9703281,DOT'S HS PRETZELS 5OZ,4,50510,00A00,5.99,3.09,21,68
,30670294,Lightning Charging Cable - White,,NB1227-WH,00A01,9.99,5,,4
,30670295,Lightning Charging Cable - Black,,NB1227-BK,00A01,9.99,5,,4
,30673924,Wireless Earbuds w/ Case-White,1,EB1433-WH,00A01,16.99,8.9,,2
,31543947,LIGHTNING TO EARPHONES,,EB1185,00A01,10.99,5.5,,3
,31544119,Multi Charging Port,2,EB1250-6,00A01,28.99,14.5,1,1
,31544220,Retractable 3in1 cable,3,EB1273,00A01,9.99,5,1,
,31544228,Patterned Bluetooth Speakers,3,EB1281,00A01,24.99,12.5,,
,31544376,20W USB-C Power Adapter,,EB1290,00A01,14.99,7.5,,3
,31544377,20W USB-C to Lightning Set,,EB1291,00A01,16.99,8.75,,2
,31544445,3 in 1 Light up cable,9,EB1294,00A01,12.99,6.75,,4
,31544485,12 PK -3ft. iPhone Cable w/box,5,EB1313-IP,00A01,4.99,2.25,3,16
,31544486,12 PK -3ft. Micro USB Cable w/bx,7,EB1313AN,00A01,4.99,2.25,2,3
,31544487,12 PK -3ft. Type C Cable w/box,,EB1313TC,00A01,4.99,2.25,2,22
,31544493,10ft. Type C Cable,1,EB1314-TC,00A01,9.99,3,5,5
,31544522,USB + USB-C Car Adapter,3,EB1326,00A01,9.99,5,3,
,31544627,USB-C STEREO EARBUDS,,EB1350,00A01,10.99,5.5,,3
,31544716,HIGH SPEED CHARGING PORT PINK,1,EB1337,00A01,13.99,7.5,,1
,31544717,HIGH SPEED CHARGING PORT BLUE,1,EB1337,00A01,13.99,7.5,,1
,31544718,HIGH SPEED CHARGING PORT GREEN,1,EB1337,00A01,13.99,7.5,,1
,31544722,20W USB-C to USB-C Set,,EB1369,00A01,16.99,8.75,,3
,31544777,4USB 36 w - Wall Adapter,6,EB1327,00A01,14.99,7.5,4,
,31544780,"10,000 mAh Power Bank",2,EB1341,00A01,28.99,14.5,,3
,32658482,6PK - 10FT Mesh Cable - USB-C,3,EB1329-TC,00A01,9.99,4.75,3,18
,32854151,6PK - 10FT Mesh Cable-Lightning,3,EB1329-IP,00A01,9.99,4.75,4,18
,33122834,BT Headphones,1,EB1388,00A01,29.99,15,,3
,33122835,10ftUSB-C toLightnCable FAST CHG,1,EB1389,00A01,9.99,5,,3
,33122836,10ft USB-C to USB-C Cable,,EB1390,00A01,9.99,5,,4
,33122839,10FT iPhone Cable,2,EB1393,00A01,9.99,5.75,,6
,33122840,10FT Type C Cable,1,EB1394,00A01,9.99,5.75,3,4
,33122841,10ft USB-C to Lightning Cable,1,EB1395,00A01,9.99,5.75,1,2
,33122842,10ft USB-C to USB-C Cable,1,EB1396,00A01,9.99,5.75,1,2
,33122855,4in1 Charging Station,2,EB1409,00A01,28.99,14.5,1,1
,33122879,15w Wireless Charger,3,EB1425,00A01,14.99,7.5,,1
,33122880,Metallic iPhone Cable,8,EB1426-IP,00A01,9.99,5.5,,11
,33122881,Metallic Type C Cable,9,EB1426-TC,00A01,9.99,5.5,3,6
,33122882,Rainbow iPhone Cable,,EB1427-IP,00A01,9.99,4.9,,3
,33122883,Rainbow Type C Cable,,EB1427-TC,00A01,9.99,4.9,,3
,33122884,USBC to USBC Cable,3,EB1428,00A01,6.99,3,,7
,33122885,USBC to IPH Cable,6,EB1429,00A01,6.99,3,2,6
,35576807,Dual USB Wall Adapter,1,EB1036HM,00A01,4.99,2,,5
,35576808,Car Cup Holder Phone Mount,,EB1450,00A01,14.99,7,,3
,35576827,4-in-1 Car Charger,,EB1451,00A01,29.99,15,,4
,35576839,Watch Bands - Silicone/Strap,10,WB23,00A01,9.99,4.9,2,3
,35576840,Watch Bands - Magnetic Mesh,5,WB24,00A01,14.99,7.5,,3
,37299000,12 PK - 10ft. iPhone Cable,82,EB1314-IP,00A01,9.99,3,5,9
,643122,"MESH TEA BALL SS 2""",,D2360,00A07,3.49,1.67,,
,643132,SNAP MESH TEA BALL,1,D2423,00A07,5.99,2.33,1,4
,6502694,COOKIE SPATULA BIG,2,191007558,00A07,11.99,5.61,,1
1,7006226,TANK SPRAYER ORTHO 2G,1,190629,00B09,38.99,24.93,5,13
,75979,PLANT STAKE STEEL 6'L,14,SS6,00B10,6.99,0.62,1,26
,7029746,"PLANT SAUCER RND CLR 8""",53,BV080S00C,00B10,1.79,0.19,13,59
,7503469,"GRAPHITE CLAY POT 5.9""",15,0115CPZ,00B10,4.99,1.53,4,8
,7503493,"GRAPHITE CLAY POT 4.3""",16,0111CPZ,00B10,2.99,0.91,3,17
,7503501,"GRAPHITE CLY SAUCER 4.3""",27,8711CPZ,00B10,2.99,0.81,5,16
,9019893,HAND BALM BLDYKNCKLS,5,1.5OZHAND1,00C00,8.99,5.23,4,12
,8096811,RAMBLER BOTTLE STRAW CAP,3,21070160011,00C02,14.99,10.13,4,25
,600476,SHAMROCK COOKIE CUTTER,,28-013,00C03,3.99,1.95,1,5
,600477,BUNNY COOKIE CUTTER,1,28-014,00C03,3.99,1.95,,5
,601473,WOOD THREE MINUTE TIMER,,1473,00C03,1.99,1.208,,
,601598,ENDURANCE SPICE SPOONS(SET OF 6),,DILL,00C03,12.99,7.886,,1
,605318,FROG COOKIE CUTTER,,28-024,00C03,3.99,2.116,,
,605646,DOG BISCUIT COOKIE CUTTER,2,28-035,00C03,3.99,2.415,1,3
,606729,SPOON PIERCED SS 9 IN,,6729,00C03,8.99,5,,
,610559,MONT'YS BERRY SPOON,,590,00C03,7.99,4,,
,610606,SMALL FLEX SPATULA -BLACK,2,FLX-1BK,00C03,5.99,2.75,1,7
,610608,MEDIUM FLEX SPATULA - GREEN,,FLX-2G,00C03,5.99,2.731,,
,625260,DISH TOWEL - NICE & NORMAL,,25260,00C03,9.99,4,,6
,626303,MELON BALLER,,26303PRO,00C03,5.99,3,,
